2026-04-03 21:40:32,985 | INFO     | [client.py:28] | Initialized BinanceFuturesClient with base_url=https://testnet.binancefuture.com
2026-04-03 21:40:32,986 | INFO     | [orders.py:32] | Preparing to place MARKET BUY order for 0.05 BTCUSDT
2026-04-03 21:40:32,986 | DEBUG    | [orders.py:51] | Order parameters built: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.05}
2026-04-03 21:40:32,986 | DEBUG    | [client.py:54] | Sending POST request to https://testnet.binancefuture.com/fapi/v1/order with params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.05, 'timestamp': 1775232632986, 'signature': '783eb7424d0afe0a53c1d0cb34fb369dc45f444daaf4ec4effab9aecdcb80345'}
2026-04-03 21:40:33,684 | DEBUG    | [client.py:58] | Received response [200]: {"orderId":13020302395,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"qOz1IEAKke1OenzXxwL9bm","price":"0.00","avgPrice":"0.00","origQty":"0.0500","executedQty":"0.0000","cumQty":"0.0000","cumQuote":"0.000000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1775232633575}
2026-04-03 21:40:33,684 | INFO     | [orders.py:56] | Order placed successfully. Order ID: 13020302395
2026-04-03 21:40:43,303 | INFO     | [client.py:28] | Initialized BinanceFuturesClient with base_url=https://testnet.binancefuture.com
2026-04-03 21:40:43,303 | INFO     | [orders.py:32] | Preparing to place LIMIT SELL order for 0.5 ETHUSDT
2026-04-03 21:40:43,303 | DEBUG    | [orders.py:51] | Order parameters built: {'symbol': 'ETHUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.5, 'price': 3500.0, 'timeInForce': 'GTC'}
2026-04-03 21:40:43,303 | DEBUG    | [client.py:54] | Sending POST request to https://testnet.binancefuture.com/fapi/v1/order with params: {'symbol': 'ETHUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.5, 'price': 3500.0, 'timeInForce': 'GTC', 'timestamp': 1775232643303, 'signature': '9f14781c3e738891162bc4d1446e7491be4cc121090ed72c2c501a87112575cf'}
2026-04-03 21:40:43,823 | DEBUG    | [client.py:58] | Received response [200]: {"orderId":8631061904,"symbol":"ETHUSDT","status":"NEW","clientOrderId":"XEBkKfT6j9qojjlE53jDvo","price":"3500.00","avgPrice":"0.00","origQty":"0.500","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTime":1775232643691}
2026-04-03 21:40:43,823 | INFO     | [orders.py:56] | Order placed successfully. Order ID: 8631061904
2026-04-03 21:40:52,732 | INFO     | [client.py:28] | Initialized BinanceFuturesClient with base_url=https://testnet.binancefuture.com
2026-04-03 21:40:52,732 | INFO     | [orders.py:32] | Preparing to place STOP SELL order for 1.5 BNBUSDT
2026-04-03 21:40:52,732 | DEBUG    | [orders.py:51] | Order parameters built: {'symbol': 'BNBUSDT', 'side': 'SELL', 'type': 'STOP', 'quantity': 1.5, 'algoType': 'CONDITIONAL', 'price': 500.0, 'triggerPrice': 515.0, 'timeInForce': 'GTC'}
2026-04-03 21:40:52,732 | DEBUG    | [client.py:54] | Sending POST request to https://testnet.binancefuture.com/fapi/v1/algoOrder with params: {'symbol': 'BNBUSDT', 'side': 'SELL', 'type': 'STOP', 'quantity': 1.5, 'algoType': 'CONDITIONAL', 'price': 500.0, 'triggerPrice': 515.0, 'timeInForce': 'GTC', 'timestamp': 1775232652732, 'signature': '84a4aba0a667325e1ac4672048b5d9ec3e915d59b17efa8d649cdf28361201d3'}
2026-04-03 21:40:53,189 | DEBUG    | [client.py:58] | Received response [200]: {"algoId":1000000041367928,"clientAlgoId":"0bER0r4zYbNaIGRBr9xgjM","algoType":"CONDITIONAL","orderType":"STOP","symbol":"BNBUSDT","side":"SELL","positionSide":"BOTH","timeInForce":"GTC","quantity":"1.50","algoStatus":"NEW","triggerPrice":"515.000","price":"500.000","icebergQuantity":null,"selfTradePreventionMode":"EXPIRE_MAKER","workingType":"CONTRACT_PRICE","priceMatch":"NONE","closePosition":false,"priceProtect":false,"reduceOnly":false,"createTime":1775232653085,"updateTime":1775232653087,"triggerTime":0,"goodTillDate":0}
2026-04-03 21:40:53,189 | INFO     | [orders.py:56] | Order placed successfully. Order ID: 1000000041367928
2026-04-03 21:40:58,239 | ERROR    | [cli.py:137] | Validation error on input arguments: Price is required for LIMIT and STOP orders.
2026-04-03 21:41:00,717 | ERROR    | [cli.py:137] | Validation error on input arguments: Price must be a positive number.
